scenarioId,eventGroup,routeFamily,repetition,outcome,status,turns,latencyMs,tokens,toolCalls,openaiCostUsd,lambdaCostUsd,totalPricedCostUsd,finalNode,terminalReached,groundedTurns,groundingRequiredTurns
study.wedding.01,wedding,recommendation,1,failed_assertion,failed,1,19214,17109,1,0.0081703,0.0003204339738,0.0084907339738,recomendar,true,1,1
study.wedding.02,wedding,clarification,1,failed_assertion,failed,1,13827,16910,1,0.0035861599999999997,0.00023065046090000002,0.0038168104609,recomendar,false,1,1
study.wedding.03,wedding,multi_need,1,failed_assertion,failed,1,14130,18477,3,0.0073950100000000005,0.00023570047100000003,0.007630710471000001,elicitacion_necesidades,false,1,1
study.wedding.04,wedding,refinement,1,failed_assertion,failed,2,27768,43570,5,0.010340769999999999,0.0004632009256,0.010803970925599999,recomendar,true,2,2
study.wedding.05,wedding,selection,1,failed_assertion,failed,2,16734,35361,1,0.009849469999999999,0.00027930055780000005,0.0101287705578,seguir_refinando_guardar_plan,true,2,2
study.wedding.06,wedding,pause_resume,1,failed_assertion,failed,3,31027,54602,2,0.01454588,0.0005177177009,0.0150635977009,recomendar,false,3,3
study.wedding.07,wedding,closure,1,failed_assertion,failed,3,23426,64418,2,0.01596943,0.0003910341142000001,0.016360464114200002,crear_lead_cerrar,true,3,3
study.wedding.08,wedding,faq,1,completed,passed,2,26931,45157,6,0.01833517,0.0004492508977,0.0187844208977,consultar_faq,true,2,2
study.wedding.09,wedding,no_results,1,failed_assertion,failed,1,9530,16611,1,0.00308456,0.000159033651,0.003243593651,recomendar,true,1,1
study.wedding.10,wedding,error_recovery,1,failed_assertion,failed,2,19109,34136,2,0.00584982,0.0003188839703,0.006168703970299999,recomendar,true,2,2
study.birthday.01,birthday,recommendation,1,completed,passed,1,13767,17076,1,0.00407691,0.0002296504589,0.0043065604589000005,recomendar,true,1,1
study.birthday.02,birthday,clarification,1,failed_assertion,failed,1,11284,16895,1,0.0037788100000000005,0.00018826704280000003,0.003967077042800001,recomendar,false,1,1
study.birthday.03,birthday,multi_need,1,failed_assertion,failed,1,12123,17856,2,0.00410751,0.0002022504041,0.0043097604041,elicitacion_necesidades,false,1,1
study.birthday.04,birthday,refinement,1,completed,passed,2,23430,35555,2,0.00808412,0.00039090078100000004,0.008475020781,recomendar,true,2,2
study.birthday.05,birthday,selection,1,completed,passed,2,15974,35125,1,0.00767757,0.0002666338658,0.0079442038658,seguir_refinando_guardar_plan,true,2,2
study.birthday.06,birthday,pause_resume,1,failed_assertion,failed,3,28436,53675,2,0.01090603,0.0004745342812,0.0113805642812,recomendar,false,3,3
study.birthday.07,birthday,closure,1,completed,passed,3,24687,68624,7,0.014322129999999999,0.00041205082290000005,0.014734180822900001,crear_lead_cerrar,true,3,3
study.birthday.08,birthday,faq,1,completed,passed,2,17020,39263,1,0.010953770000000002,0.00028406723400000003,0.011237837234,consultar_faq,true,1,1
study.birthday.09,birthday,no_results,1,completed,passed,1,12773,17031,1,0.00409316,0.00021308375910000001,0.0043062437591,recomendar,true,1,1
study.birthday.10,birthday,error_recovery,1,failed_assertion,failed,2,21396,36928,1,0.00938662,0.00035700071320000004,0.0097436207132,entrevista,false,2,2
study.baby_shower.01,baby_shower,recommendation,1,failed_assertion,failed,1,10252,16805,1,0.0033518600000000003,0.00017106700840000002,0.0035229270084000002,recomendar,true,1,1
study.baby_shower.02,baby_shower,clarification,1,failed_assertion,failed,1,9980,17075,1,0.0038836599999999997,0.000166533666,0.004050193666,recomendar,false,1,1
study.baby_shower.03,baby_shower,multi_need,1,failed_assertion,failed,1,12492,18595,3,0.00534671,0.00020840041640000004,0.0055551104164,elicitacion_necesidades,false,1,1
study.baby_shower.04,baby_shower,refinement,1,failed_assertion,failed,2,15014,34254,1,0.00644017,0.0002506338338,0.0066908038338,seguir_refinando_guardar_plan,false,2,2
study.baby_shower.05,baby_shower,selection,1,failed_assertion,failed,2,17129,34399,1,0.00641567,0.0002858839043,0.0067015539043,seguir_refinando_guardar_plan,true,2,2
study.baby_shower.06,baby_shower,pause_resume,1,failed_assertion,failed,3,23997,54655,1,0.01442938,0.00040055079990000003,0.014829930799900002,seguir_refinando_guardar_plan,false,3,3
study.baby_shower.07,baby_shower,closure,1,failed_assertion,failed,3,22746,59494,2,0.01030698,0.00037970075820000003,0.0106866807582,crear_lead_cerrar,true,3,3
study.baby_shower.08,baby_shower,faq,1,completed,passed,2,16946,39967,1,0.00953702,0.0002828338982,0.0098198538982,consultar_faq,true,1,1
study.baby_shower.09,baby_shower,no_results,1,failed_assertion,failed,1,11299,16711,1,0.00323316,0.0001885170433,0.0034216770433,recomendar,true,1,1
study.baby_shower.10,baby_shower,error_recovery,1,failed_assertion,failed,2,21356,42055,8,0.00932232,0.00035633404520000003,0.009678654045200002,recomendar,true,2,2
study.corporate.01,corporate,recommendation,1,failed_assertion,failed,1,10662,16762,1,0.0033080600000000003,0.00017790035540000003,0.0034859603554000004,recomendar,true,1,1
study.corporate.02,corporate,clarification,1,failed_assertion,failed,1,11633,22932,4,0.00533321,0.0001940837211,0.0055272937211,recomendar,false,1,1
study.corporate.03,corporate,multi_need,1,failed_assertion,failed,1,15118,18491,3,0.004913010000000001,0.00025216717060000003,0.005165177170600001,elicitacion_necesidades,false,1,1
study.corporate.04,corporate,refinement,1,failed_assertion,failed,2,19905,34352,2,0.006095069999999999,0.00033215066350000003,0.0064272206635,recomendar,true,2,2
study.corporate.05,corporate,selection,1,failed_assertion,failed,2,17875,50530,8,0.01010227,0.0002983172625,0.0104005872625,seguir_refinando_guardar_plan,true,2,2
study.corporate.06,corporate,pause_resume,1,failed_assertion,failed,3,21348,53054,1,0.01291993,0.00035640071160000005,0.013276330711599999,aclarar_pedir_faltante,false,3,3
study.corporate.07,corporate,closure,1,failed_assertion,failed,3,22415,59779,2,0.01053293,0.0003741840805,0.010907114080500002,crear_lead_cerrar,true,3,3
study.corporate.08,corporate,faq,1,completed,passed,2,18453,39704,1,0.00937307,0.0003079506151,0.0096810206151,consultar_faq,true,1,1
study.corporate.09,corporate,no_results,1,failed_assertion,failed,1,6650,16566,0,0.00271586,0.00011103355500000001,0.002826893555,entrevista,false,0,0
study.corporate.10,corporate,error_recovery,1,failed_assertion,failed,2,22297,39258,2,0.00643407,0.00037201740990000005,0.0068060874099,recomendar,true,1,1
study.social.01,social,recommendation,1,completed,passed,1,13226,17054,1,0.0041800100000000005,0.00022063377420000003,0.0044006437742,recomendar,true,1,1
