scenario,turn,extractorModel,replyModel,extractionLlmCalls,replyLlmCalls,toolCalls,tools,runtimeLatencyMs,extractionLatencyMs,providerSearchLatencyMs,composeLatencyMs,inputTokens,outputTokens,cachedInputTokens,totalTokens,cacheHitRate,persisted,errors
study.wedding.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,17114,5870,5187,5880,16252,857,0,17109,0,true,
study.wedding.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13528,3267,3855,6334,16216,694,14080,16910,0.8682782437099161,true,
study.wedding.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,13967,6649,7644,3920,17250,1227,11008,18477,0.6381449275362319,true,
study.wedding.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10260,3933,2598,3672,16216,820,14080,17036,0.8682782437099161,true,
study.wedding.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_from_plan|get_provider_detail|get_provider_detail|get_provider_detail,16799,4336,3450,8949,25542,992,21760,26534,0.8519301542557357,true,
study.wedding.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9692,3336,2727,3567,16221,796,14080,17017,0.8680106035386228,true,
study.wedding.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5434,3283,0,2073,17945,399,11008,18344,0.6134299247701309,true,
study.wedding.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10340,3737,2913,3541,16213,828,14080,17041,0.8684389070498982,true,
study.wedding.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4101,2513,0,1548,17323,277,11008,17600,0.6354557524678174,true,
study.wedding.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,14647,3350,7777,3436,19152,809,15616,19961,0.8153717627401837,true,
