node,visits
recomendar,211
minimos_para_buscar,148
contacto_inicial,147
deteccion_intencion,147
buscar_proveedores,142
busqueda_exitosa,142
hay_resultados,142
existe_plan_guardado,118
usuario_elige_proveedor,57
entrevista,53
seguir_refinando_guardar_plan,50
elicitacion_necesidades,30
guardar_cerrar_temporalmente,30
anadir_a_proveedores_recomendados,28
aclarar_pedir_faltante,26
refinar_criterios,25
consultar_faq,15
crear_lead_cerrar,14
