route,count
contacto_inicial->recomendar,30
contacto_inicial->recomendar|recomendar->recomendar,20
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan,20
contacto_inicial->elicitacion_necesidades,15
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan|seguir_refinando_guardar_plan->crear_lead_cerrar,15
contacto_inicial->refinar_criterios,12
contacto_inicial->entrevista|entrevista->consultar_faq,8
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->consultar_faq,7
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->aclarar_pedir_faltante,6
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->seguir_refinando_guardar_plan,5
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->recomendar,4
contacto_inicial->entrevista,3
contacto_inicial->entrevista|entrevista->recomendar,2
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->recomendar,1
contacto_inicial->recomendar|recomendar->entrevista,1
contacto_inicial->entrevista|entrevista->seguir_refinando_guardar_plan,1
