scenario,turn,extractorModel,replyModel,extractionLlmCalls,replyLlmCalls,toolCalls,tools,runtimeLatencyMs,extractionLatencyMs,providerSearchLatencyMs,composeLatencyMs,inputTokens,outputTokens,cachedInputTokens,totalTokens,cacheHitRate,persisted,errors
study.corporate.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,17722,4917,5450,7211,16236,764,14592,17000,0.8987435328898744,true,
study.corporate.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,18080,10120,11256,4802,17675,1673,14592,19348,0.8255728429985856,true,
study.corporate.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,11410,4714,3409,3249,20547,584,18688,21131,0.9095245047938871,true,
study.corporate.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,7612,5064,0,2509,17058,447,14080,17505,0.8254191581662563,true,
study.corporate.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9159,4255,2739,2131,15832,543,14592,16375,0.921677614957049,true,
study.corporate.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6876,4770,0,2078,16793,350,14080,17143,0.8384445900077413,true,
study.corporate.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10828,4567,3148,3056,16016,646,14592,16662,0.9110889110889111,true,
study.corporate.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4836,3176,0,1608,16780,285,13824,17065,0.8238379022646007,true,
study.corporate.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5089,2995,0,2054,18084,292,14080,18376,0.7785888077858881,true,
study.corporate.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_from_plan|get_provider_detail|list_provider_reviews|list_provider_reviews|list_provider_reviews,13052,4530,2934,5550,30106,669,27904,30775,0.9268584335348435,true,
study.corporate.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4645,2578,0,2035,17068,254,14080,17322,0.824935551910007,true,
study.corporate.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,7216,2922,0,4259,25634,325,21248,25959,0.8288991183584302,true,
study.corporate.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,11940,9678,0,2226,16909,1306,14592,18215,0.8629723815719439,true,
study.corporate.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,8011,3237,0,4610,22415,497,16256,22912,0.7252286415346866,true,
study.corporate.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,8837,5547,0,3259,15927,607,11008,16534,0.6911533873296917,true,
study.corporate.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6910,5014,0,1865,15897,515,14080,16412,0.8857017047241618,true,
study.corporate.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11176,4560,3253,3258,17207,830,14592,18037,0.8480269657697449,true,
study.social.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10963,4938,3047,2937,16073,741,14592,16814,0.9078578983388291,true,
study.social.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,15165,4786,6841,3490,16214,799,14592,17013,0.8999629949426422,true,
study.social.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,19045,10992,12127,5435,17988,1801,14592,19789,0.8112074716477652,true,
study.social.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11656,4720,3707,3187,16045,708,14592,16753,0.9094421938298536,true,
study.social.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11381,5017,3115,3201,17554,723,15104,18277,0.8604306710721203,true,
study.social.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12531,6689,3197,2518,15855,631,14592,16486,0.9203405865657521,true,
study.social.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5587,3563,0,1994,16739,304,14080,17043,0.8411494115538563,true,
