scenarioId,eventGroup,routeFamily,repetition,outcome,status,turns,latencyMs,tokens,toolCalls,openaiCostUsd,lambdaCostUsd,totalPricedCostUsd,finalNode,terminalReached,groundedTurns,groundingRequiredTurns
study.wedding.01,wedding,recommendation,1,failed_assertion,failed,1,12849,17171,1,0.0043942600000000005,0.00021435042830000002,0.0046086104283000005,recomendar,true,1,1
study.wedding.02,wedding,clarification,1,failed_assertion,failed,1,14631,17007,1,0.00391591,0.0002440504877,0.0041599604877,recomendar,false,1,1
study.wedding.03,wedding,multi_need,1,failed_assertion,failed,1,14995,18432,3,0.004940760000000001,0.0002501171665,0.0051908771665,elicitacion_necesidades,false,1,1
study.wedding.04,wedding,refinement,1,failed_assertion,failed,2,25092,35809,2,0.007861469999999999,0.0004186008364,0.0082800708364,recomendar,true,2,2
study.wedding.05,wedding,selection,1,failed_assertion,failed,2,19336,35464,1,0.007924770000000001,0.0003226673112,0.0082474373112,seguir_refinando_guardar_plan,true,2,2
study.wedding.06,wedding,pause_resume,1,failed_assertion,failed,3,24946,52629,2,0.01011868,0.0004163674982000001,0.010535047498199999,recomendar,false,3,3
study.wedding.07,wedding,closure,1,failed_assertion,failed,3,27573,71594,3,0.015192629999999999,0.00046015091910000004,0.0156527809191,crear_lead_cerrar,true,3,3
study.wedding.08,wedding,faq,1,completed,passed,2,33314,44769,6,0.01439642,0.0005556344438000001,0.0149520544438,consultar_faq,true,2,2
study.wedding.09,wedding,no_results,1,failed_assertion,failed,1,10264,16348,1,0.00238461,0.0001712670088,0.0025558770088,refinar_criterios,false,0,0
study.wedding.10,wedding,error_recovery,1,failed_assertion,failed,2,27099,55505,7,0.01070052,0.0004520509033000001,0.011152570903300001,recomendar,true,2,2
study.birthday.01,birthday,recommendation,1,completed,passed,1,11650,16888,1,0.00368186,0.00019436705500000003,0.003876227055,recomendar,true,1,1
study.birthday.02,birthday,clarification,1,failed_assertion,failed,1,10778,16916,1,0.0038637600000000004,0.00017983369260000001,0.004043593692600001,recomendar,false,1,1
study.birthday.03,birthday,multi_need,1,failed_assertion,failed,1,12658,18005,2,0.00423251,0.0002111670886,0.0044436770886,elicitacion_necesidades,false,1,1
study.birthday.04,birthday,refinement,1,completed,passed,2,20195,34713,2,0.00697647,0.0003369840065,0.0073134540065,recomendar,true,2,2
study.birthday.05,birthday,selection,1,completed,passed,2,19542,34626,1,0.0068400200000000005,0.0003261006514,0.0071661206514000006,seguir_refinando_guardar_plan,true,2,2
study.birthday.06,birthday,pause_resume,1,failed_assertion,failed,3,22337,50596,2,0.00765628,0.0003728840779,0.008029164077899999,recomendar,false,3,3
study.birthday.07,birthday,closure,1,completed,passed,3,25427,61255,2,0.01155168,0.00042438418090000004,0.0119760641809,crear_lead_cerrar,true,3,3
study.birthday.08,birthday,faq,1,completed,passed,2,20447,39938,1,0.01137767,0.00034118401490000003,0.0117188540149,consultar_faq,true,1,1
study.birthday.09,birthday,no_results,1,failed_assertion,failed,1,11312,16296,1,0.00235526,0.0001887337104,0.0025439937104,refinar_criterios,false,0,0
study.birthday.10,birthday,error_recovery,1,failed_assertion,failed,2,23456,40655,3,0.00793317,0.00039133411520000006,0.008324504115199999,recomendar,true,2,2
study.baby_shower.01,baby_shower,recommendation,1,failed_assertion,failed,1,10453,16500,1,0.00273641,0.0001744170151,0.0029108270150999998,recomendar,true,1,1
study.baby_shower.02,baby_shower,clarification,1,failed_assertion,failed,1,14003,17186,1,0.00425911,0.00023358380010000002,0.0044926938001,recomendar,false,1,1
study.baby_shower.03,baby_shower,multi_need,1,failed_assertion,failed,1,16795,19124,4,0.005854710000000001,0.00028011722650000005,0.006134827226500001,elicitacion_necesidades,false,1,1
study.baby_shower.04,baby_shower,refinement,1,failed_assertion,failed,2,16878,34004,1,0.005999570000000001,0.00028170056259999997,0.006281270562600001,seguir_refinando_guardar_plan,false,2,2
study.baby_shower.05,baby_shower,selection,1,failed_assertion,failed,2,15315,33525,1,0.00543962,0.00025565051050000003,0.0056952705105000005,seguir_refinando_guardar_plan,true,2,2
study.baby_shower.06,baby_shower,pause_resume,1,failed_assertion,failed,3,21617,50865,1,0.008501380000000001,0.00036088405390000003,0.0088622640539,seguir_refinando_guardar_plan,false,3,3
study.baby_shower.07,baby_shower,closure,1,failed_assertion,failed,3,23145,64523,3,0.01110868,0.00038635077150000005,0.0114950307715,crear_lead_cerrar,true,3,3
study.baby_shower.08,baby_shower,faq,1,completed,passed,2,17939,39669,1,0.00919402,0.0002993839313,0.0094934039313,consultar_faq,true,1,1
study.baby_shower.09,baby_shower,no_results,1,failed_assertion,failed,1,11282,21306,2,0.0034223599999999997,0.0001882337094,0.0036105937093999997,refinar_criterios,false,0,0
study.baby_shower.10,baby_shower,error_recovery,1,failed_assertion,failed,2,22268,34243,2,0.00532357,0.0003715340756000001,0.0056951040756,recomendar,true,2,2
study.corporate.01,corporate,recommendation,1,failed_assertion,failed,1,11760,21296,2,0.00368681,0.000196200392,0.003883010392,recomendar,true,1,1
study.corporate.02,corporate,clarification,1,failed_assertion,failed,1,12540,17018,1,0.00372186,0.000209200418,0.003931060418,recomendar,false,1,1
study.corporate.03,corporate,multi_need,1,failed_assertion,failed,1,14428,18468,3,0.00495986,0.00024066714760000003,0.0052005271476,elicitacion_necesidades,false,1,1
study.corporate.04,corporate,refinement,1,failed_assertion,failed,2,17514,38980,2,0.00630787,0.00029230058380000005,0.0066001705838,seguir_refinando_guardar_plan,false,2,2
study.corporate.05,corporate,selection,1,failed_assertion,failed,2,19026,38462,2,0.00638502,0.0003175006342,0.0067025206342,seguir_refinando_guardar_plan,true,2,2
study.corporate.06,corporate,pause_resume,1,failed_assertion,failed,3,21591,52147,1,0.01195063,0.0003604507197,0.0123110807197,aclarar_pedir_faltante,false,3,3
study.corporate.07,corporate,closure,1,failed_assertion,failed,3,24218,65040,3,0.01171143,0.0004042341406,0.0121156641406,crear_lead_cerrar,true,3,3
study.corporate.08,corporate,faq,1,completed,passed,2,21079,39612,1,0.00930392,0.00035171736930000007,0.009655637369300002,consultar_faq,true,1,1
study.corporate.09,corporate,no_results,1,failed_assertion,failed,1,7117,16551,0,0.00255986,0.00011881690390000001,0.0026786769039,entrevista,false,0,0
study.corporate.10,corporate,error_recovery,1,failed_assertion,failed,2,20795,45957,5,0.00931592,0.00034698402650000005,0.0096629040265,recomendar,true,1,1
study.social.01,social,recommendation,1,completed,passed,1,12538,16866,1,0.00358761,0.00020916708460000003,0.0037967770846,recomendar,true,1,1
study.social.02,social,clarification,1,failed_assertion,failed,1,22217,16966,1,0.0039546600000000005,0.0003704840739,0.0043251440739,recomendar,false,1,1
study.social.03,social,multi_need,1,failed_assertion,failed,1,16124,19116,4,0.0058070100000000005,0.0002689338708,0.0060759438708,elicitacion_necesidades,false,1,1
study.social.04,social,refinement,1,completed,passed,2,23298,35060,2,0.007227620000000001,0.0003887007766,0.007616320776600001,recomendar,true,2,2
study.social.05,social,selection,1,completed,passed,2,15508,33570,1,0.00553977,0.00025886718360000003,0.0057986371836,seguir_refinando_guardar_plan,true,2,2
study.social.06,social,pause_resume,1,failed_assertion,failed,3,21782,52428,1,0.010105030000000001,0.00036363405940000005,0.0104686640594,aclarar_pedir_faltante,false,3,3
study.social.07,social,closure,1,completed,passed,3,25440,61267,2,0.01155303,0.000424600848,0.011977630848,crear_lead_cerrar,true,3,3
study.social.08,social,faq,1,completed,passed,2,18649,39924,1,0.00933572,0.0003112172883,0.0096469372883,consultar_faq,true,1,1
study.social.09,social,no_results,1,failed_assertion,failed,1,10891,16425,1,0.0025419600000000002,0.00018171702970000002,0.0027236770297,refinar_criterios,false,0,0
study.social.10,social,error_recovery,1,failed_assertion,failed,2,24373,40741,3,0.00817347,0.0004066174791000001,0.0085800874791,recomendar,true,2,2
study.wedding.01,wedding,recommendation,2,failed_assertion,failed,1,11551,17091,1,0.00388501,0.0001927170517,0.0040777270517,recomendar,true,1,1
study.wedding.02,wedding,clarification,2,failed_assertion,failed,1,12656,16935,1,0.00354841,0.00021113375520000001,0.0037595437552,recomendar,false,1,1
study.wedding.03,wedding,multi_need,2,failed_assertion,failed,1,15278,18422,3,0.00488691,0.0002548338426,0.0051417438426,elicitacion_necesidades,false,1,1
study.wedding.04,wedding,refinement,2,failed_assertion,failed,2,24950,35962,2,0.00825402,0.000416234165,0.008670254164999999,recomendar,true,2,2
study.wedding.05,wedding,selection,2,failed_assertion,failed,2,18015,35409,1,0.00948212,0.00030065060050000006,0.0097827706005,seguir_refinando_guardar_plan,true,2,2
study.wedding.06,wedding,pause_resume,2,failed_assertion,failed,3,25840,52722,2,0.01005153,0.00043126752800000005,0.010482797528,recomendar,false,3,3
study.wedding.07,wedding,closure,2,failed_assertion,failed,3,29599,63887,2,0.01292723,0.0004939176533,0.013421147653299999,crear_lead_cerrar,true,3,3
study.wedding.08,wedding,faq,2,completed,passed,2,25230,44841,6,0.01419047,0.0004209008410000001,0.014611370841,consultar_faq,true,2,2
study.wedding.09,wedding,no_results,2,failed_assertion,failed,1,19425,21245,2,0.00339026,0.00032395064750000006,0.0037142106475,refinar_criterios,false,0,0
study.wedding.10,wedding,error_recovery,2,failed_assertion,failed,2,20149,33907,2,0.00534292,0.0003362173383,0.0056791373383,recomendar,true,2,2
study.birthday.01,birthday,recommendation,2,completed,passed,1,12623,16864,1,0.00325941,0.0002105837541,0.0034699937541,recomendar,true,1,1
study.birthday.02,birthday,clarification,2,failed_assertion,failed,1,10487,16858,1,0.0032184600000000002,0.0001749836829,0.0033934436829000003,recomendar,false,1,1
study.birthday.03,birthday,multi_need,2,failed_assertion,failed,1,12021,17835,2,0.00397401,0.00020055040070000003,0.0041745604007,elicitacion_necesidades,false,1,1
study.birthday.04,birthday,refinement,2,completed,passed,2,26706,35018,2,0.00679342,0.0004455008902,0.0072389208902,recomendar,true,2,2
study.birthday.05,birthday,selection,2,completed,passed,2,17679,34595,1,0.00645652,0.0002950505893,0.0067515705893,seguir_refinando_guardar_plan,true,2,2
study.birthday.06,birthday,pause_resume,2,failed_assertion,failed,3,21241,50678,1,0.00795838,0.0003546173747000001,0.0083129973747,seguir_refinando_guardar_plan,false,3,3
study.birthday.07,birthday,closure,2,completed,passed,3,23678,61582,2,0.01154353,0.0003952341226,0.0119387641226,crear_lead_cerrar,true,3,3
study.birthday.08,birthday,faq,2,completed,passed,2,20274,41474,1,0.01285532,0.00033830067580000004,0.013193620675799999,consultar_faq,true,1,1
study.birthday.09,birthday,no_results,2,failed_assertion,failed,1,12139,20730,2,0.00303566,0.00020251707130000002,0.0032381770713,refinar_criterios,false,0,0
study.birthday.10,birthday,error_recovery,2,failed_assertion,failed,2,27296,40410,3,0.00762012,0.0004553342432,0.008075454243200001,recomendar,true,2,2
study.baby_shower.01,baby_shower,recommendation,2,failed_assertion,failed,1,17201,31118,5,0.00475046,0.0002868839067,0.0050373439066999995,recomendar,true,1,1
study.baby_shower.02,baby_shower,clarification,2,failed_assertion,failed,1,13219,17134,1,0.0037443100000000003,0.0002205171073,0.0039648271073,recomendar,false,1,1
study.baby_shower.03,baby_shower,multi_need,2,failed_assertion,failed,1,14876,18434,3,0.004856910000000001,0.0002481338292,0.0051050438292,elicitacion_necesidades,false,1,1
study.baby_shower.04,baby_shower,refinement,2,failed_assertion,failed,2,21959,49030,5,0.00828857,0.0003663840653,0.008654954065300001,seguir_refinando_guardar_plan,false,2,2
study.baby_shower.05,baby_shower,selection,2,failed_assertion,failed,2,18918,38895,2,0.00664112,0.00031570063060000004,0.0069568206306,seguir_refinando_guardar_plan,true,2,2
study.baby_shower.06,baby_shower,pause_resume,2,failed_assertion,failed,3,21096,50875,1,0.00814693,0.0003522007032,0.0084991307032,aclarar_pedir_faltante,false,3,3
study.baby_shower.07,baby_shower,closure,2,failed_assertion,failed,3,22020,58971,2,0.00930493,0.0003676007340000001,0.009672530734,crear_lead_cerrar,true,3,3
study.baby_shower.08,baby_shower,faq,2,completed,passed,2,20735,39799,1,0.009438470000000001,0.00034598402450000004,0.0097844540245,consultar_faq,true,1,1
study.baby_shower.09,baby_shower,no_results,2,failed_assertion,failed,1,11286,20658,2,0.00290681,0.0001883003762,0.0030951103762000003,refinar_criterios,false,0,0
study.baby_shower.10,baby_shower,error_recovery,2,failed_assertion,failed,2,22304,34292,2,0.00532632,0.00037213407680000005,0.0056984540768,recomendar,true,2,2
study.corporate.01,corporate,recommendation,2,failed_assertion,failed,1,11365,16513,1,0.0024174599999999997,0.0001896170455,0.0026070770454999998,recomendar,true,1,1
study.corporate.02,corporate,clarification,2,failed_assertion,failed,1,17959,17000,1,0.0033945100000000003,0.0002995172653,0.0036940272653,recomendar,false,1,1
study.corporate.03,corporate,multi_need,2,failed_assertion,failed,1,18218,19348,4,0.00621766,0.0003038339406,0.0065214939405999995,elicitacion_necesidades,false,1,1
study.corporate.04,corporate,refinement,2,failed_assertion,failed,2,19803,38636,2,0.00646782,0.0003304506601,0.0067982706601,seguir_refinando_guardar_plan,false,2,2
study.corporate.05,corporate,selection,2,failed_assertion,failed,2,17171,33518,1,0.00513947,0.0002865839057,0.0054260539056999995,seguir_refinando_guardar_plan,true,2,2
study.corporate.06,corporate,pause_resume,2,failed_assertion,failed,3,22507,52103,1,0.00951188,0.00037571741690000006,0.0098875974169,aclarar_pedir_faltante,false,3,3
study.corporate.07,corporate,closure,2,failed_assertion,failed,3,26009,74056,6,0.01205763,0.00043408420030000006,0.0124917142003,crear_lead_cerrar,true,3,3
study.corporate.08,corporate,faq,2,completed,passed,2,20667,41127,1,0.01031742,0.00034485068890000004,0.010662270688900001,consultar_faq,true,1,1
study.corporate.09,corporate,no_results,2,failed_assertion,failed,1,9224,16534,0,0.00466796,0.0001539336408,0.0048218936408,entrevista,false,0,0
study.corporate.10,corporate,error_recovery,2,failed_assertion,failed,2,18891,34449,1,0.00687047,0.00031525062970000003,0.0071857206297,recomendar,true,1,1
study.social.01,social,recommendation,2,completed,passed,1,11547,16814,1,0.0031351600000000006,0.00019265038490000002,0.0033278103849000004,recomendar,true,1,1
study.social.02,social,clarification,2,failed_assertion,failed,1,15397,17013,1,0.0036476600000000005,0.0002568171799,0.0039044771799000007,recomendar,false,1,1
study.social.03,social,multi_need,2,failed_assertion,failed,1,19198,19789,5,0.006833410000000001,0.00032016730660000005,0.007153577306600001,elicitacion_necesidades,false,1,1
study.social.04,social,refinement,2,completed,passed,2,23891,35030,2,0.006762870000000001,0.0003985841297,0.0071614541297,recomendar,true,2,2
study.social.05,social,selection,2,completed,passed,2,19163,33529,1,0.00514917,0.0003197839721,0.0054689539721,seguir_refinando_guardar_plan,true,2,2
study.social.06,social,pause_resume,2,failed_assertion,failed,3,23588,52239,1,0.00966643,0.0003937341196,0.0100601641196,aclarar_pedir_faltante,false,3,3
study.social.07,social,closure,2,completed,passed,3,26479,61607,2,0.01151318,0.0004419175493000001,0.0119550975493,crear_lead_cerrar,true,3,3
study.social.08,social,faq,2,completed,passed,2,22520,40384,1,0.00973737,0.000375734084,0.010113104084000001,consultar_faq,true,1,1
study.social.09,social,no_results,2,failed_assertion,failed,1,10034,16307,1,0.00234321,0.0001674336678,0.0025106436678,refinar_criterios,false,0,0
