node,visits
recomendar,199
contacto_inicial,150
deteccion_intencion,150
minimos_para_buscar,146
buscar_proveedores,140
busqueda_exitosa,140
hay_resultados,140
existe_plan_guardado,120
usuario_elige_proveedor,66
seguir_refinando_guardar_plan,56
entrevista,53
refinar_criterios,40
anadir_a_proveedores_recomendados,36
elicitacion_necesidades,31
guardar_cerrar_temporalmente,30
aclarar_pedir_faltante,24
crear_lead_cerrar,15
consultar_faq,15
