scenarioId,eventGroup,routeFamily,repetition,outcome,status,turns,latencyMs,tokens,toolCalls,openaiCostUsd,lambdaCostUsd,totalPricedCostUsd,finalNode,terminalReached,groundedTurns,groundingRequiredTurns
study.wedding.01,wedding,recommendation,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.02,wedding,clarification,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.03,wedding,multi_need,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.04,wedding,refinement,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.05,wedding,selection,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.06,wedding,pause_resume,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.07,wedding,closure,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.08,wedding,faq,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.09,wedding,no_results,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.wedding.10,wedding,error_recovery,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.01,birthday,recommendation,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.02,birthday,clarification,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.03,birthday,multi_need,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.04,birthday,refinement,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.05,birthday,selection,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.06,birthday,pause_resume,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.07,birthday,closure,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.08,birthday,faq,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.09,birthday,no_results,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.birthday.10,birthday,error_recovery,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.01,baby_shower,recommendation,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.02,baby_shower,clarification,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.03,baby_shower,multi_need,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.04,baby_shower,refinement,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.05,baby_shower,selection,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.06,baby_shower,pause_resume,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.07,baby_shower,closure,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.08,baby_shower,faq,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.09,baby_shower,no_results,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.baby_shower.10,baby_shower,error_recovery,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.corporate.01,corporate,recommendation,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.corporate.02,corporate,clarification,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
study.corporate.03,corporate,multi_need,1,failed_assertion,skipped,0,0,0,0,0,0,0,,false,0,0
