node,visits
recomendar,198
contacto_inicial,150
deteccion_intencion,150
minimos_para_buscar,143
buscar_proveedores,139
busqueda_exitosa,139
hay_resultados,139
existe_plan_guardado,120
usuario_elige_proveedor,67
seguir_refinando_guardar_plan,58
entrevista,57
refinar_criterios,38
anadir_a_proveedores_recomendados,37
guardar_cerrar_temporalmente,31
elicitacion_necesidades,30
aclarar_pedir_faltante,22
crear_lead_cerrar,15
consultar_faq,15
