scenario,turn,extractorModel,replyModel,extractionLlmCalls,replyLlmCalls,toolCalls,tools,runtimeLatencyMs,extractionLatencyMs,providerSearchLatencyMs,composeLatencyMs,inputTokens,outputTokens,cachedInputTokens,totalTokens,cacheHitRate,persisted,errors
study.wedding.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,16300,4915,2667,8630,16283,980,14080,17263,0.8647055210956212,true,
study.wedding.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,25212,5200,16646,3314,16211,791,14080,17002,0.8685460489790883,true,
study.wedding.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,13249,6265,9007,3636,17204,1264,3584,18468,0.20832364566379913,true,
study.wedding.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10577,3975,3176,3369,16222,832,14080,17054,0.8679570953026754,true,
study.wedding.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13329,6505,3651,3112,18102,906,15616,19008,0.8626671086067838,true,
study.wedding.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9671,3700,2315,3605,16245,822,14080,17067,0.8667282240689443,true,
study.wedding.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,get_provider_detail,5872,2489,0,3342,24396,445,17152,24841,0.7030660764059682,true,
study.wedding.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_from_plan|get_provider_detail|get_provider_detail|get_provider_detail,11591,3726,3224,4601,21676,809,18688,22485,0.862151688503414,true,
study.wedding.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4507,2754,0,1725,17837,259,11008,18096,0.6171441385883276,true,
study.wedding.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9435,3100,3438,2857,19491,665,16128,20156,0.8274588271509927,true,
study.wedding.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10203,4230,2981,2948,16232,802,14080,17034,0.8674223755544603,true,
study.wedding.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,get_provider_detail,5862,2766,0,3049,24574,398,20224,24972,0.8229836412468463,true,
study.wedding.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,5622,2375,0,3200,28754,358,19200,29112,0.6677331849481811,true,
study.wedding.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,15232,8481,11769,3906,17858,1797,14592,19655,0.8171127785866279,true,
study.wedding.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,8744,3686,0,5019,24577,390,11008,24967,0.44789844163242054,true,
study.wedding.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,13231,7818,7948,2627,16709,1095,11008,17804,0.6588066311568616,true,
study.wedding.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9401,4046,3362,1955,15856,562,14080,16418,0.887991927346115,true,
study.wedding.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,7545,2390,3222,1896,16890,359,15104,17249,0.8942569567791593,true,
study.birthday.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9470,3493,3160,2727,16067,771,14080,16838,0.8763303665899048,true,
study.birthday.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9730,3472,3366,2837,16145,697,14080,16842,0.8720966243419015,true,
study.birthday.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_by_query_intent|search_providers_by_query_intent,10868,4985,5452,3009,16924,1075,14592,17999,0.8622075159536753,true,
study.birthday.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9794,4064,3176,2520,16040,724,14080,16764,0.8778054862842892,true,
study.birthday.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10173,4135,2882,3117,17561,733,15104,18294,0.8600876943226468,true,
study.birthday.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9800,3628,3045,3088,16082,771,14080,16853,0.8755129958960328,true,
study.birthday.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4431,2663,0,1700,17621,378,14080,17999,0.7990465921343851,true,
study.birthday.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8147,3663,2692,1670,15839,563,14080,16402,0.8889450091546184,true,
study.birthday.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,3896,2012,0,1861,16211,255,13824,16466,0.852754302634014,true,
study.birthday.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,6946,2190,2801,1917,17526,317,15104,17843,0.8618053178135342,true,
study.birthday.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9208,3418,3215,2468,16017,684,14080,16701,0.8790659923830929,true,
study.birthday.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4262,2225,0,1986,17317,331,14080,17648,0.8130738580585551,true,
study.birthday.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6467,2943,0,3494,26559,363,21760,26922,0.8193079558718325,true,
study.birthday.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,12701,10873,0,1702,16273,1269,11008,17542,0.6764579364591655,true,
study.birthday.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,6704,1963,0,4721,21422,372,16256,21794,0.7588460461208104,true,
study.birthday.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_categories,10487,4128,3049,3273,20049,648,18176,20697,0.9065788817397377,true,
study.birthday.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11475,6246,3099,2069,15890,589,14080,16479,0.8860918816865954,true,
study.birthday.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_related_providers,11650,4292,3606,3716,23244,815,20224,24059,0.8700739975907761,true,
study.baby_shower.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9900,4701,3272,1887,15893,656,14592,16549,0.9181400616623671,true,
study.baby_shower.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_from_plan|get_provider_detail|get_provider_detail|get_provider_detail,13311,3933,4929,4380,22390,883,18688,23273,0.8346583296114337,true,
study.baby_shower.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,13512,7089,7666,3539,17317,1343,14592,18660,0.8426401801697754,true,
study.baby_shower.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_from_plan|get_provider_detail|list_provider_reviews|list_provider_reviews|list_provider_reviews,10970,3569,2496,4873,30162,650,27392,30812,0.9081625886877528,true,
study.baby_shower.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5068,2844,0,2190,17230,418,14080,17648,0.8171793383633198,true,
study.baby_shower.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10118,4069,4096,1917,15835,569,14080,16404,0.8891695610988317,true,
study.baby_shower.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4472,2721,0,1720,16848,370,14080,17218,0.835707502374169,true,
study.baby_shower.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5927,3760,0,2132,16197,555,14592,16752,0.9009075754769402,true,
study.baby_shower.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4543,2732,0,1790,16166,292,13824,16458,0.8551280465173822,true,
study.baby_shower.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,13695,8272,3304,2085,18150,1303,14080,19453,0.7757575757575758,true,
study.baby_shower.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,7943,3747,2263,1898,15862,590,14080,16452,0.8876560332871013,true,
study.baby_shower.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6098,2660,0,3409,16893,368,14080,17261,0.8334813236251701,true,
study.baby_shower.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,8318,2879,0,5415,25336,354,21248,25690,0.8386485633091254,true,
study.baby_shower.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,10638,8304,0,2301,16896,1249,14592,18145,0.8636363636363636,true,
study.baby_shower.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,8059,2407,0,5632,22688,391,16256,23079,0.7165021156558533,true,
study.baby_shower.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_locations,9809,3963,2543,3273,20667,597,18176,21264,0.8794696859728068,true,
study.baby_shower.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8818,3678,2993,2117,15891,567,14080,16458,0.8860361210748222,true,
study.baby_shower.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10385,5746,2733,1874,17100,602,15104,17702,0.8832748538011695,true,
study.corporate.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,9623,3974,2787,2827,20623,592,18688,21215,0.9061727197788877,true,
study.corporate.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,10,search_providers_from_plan|get_provider_detail|get_provider_detail|get_provider_detail|list_provider_reviews|list_provider_reviews|list_provider_reviews|list_provider_reviews|list_provider_reviews|list_provider_reviews,12770,3688,3916,5119,27777,890,24320,28667,0.8755445152464268,true,
study.corporate.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,14340,8224,7167,3467,17203,1176,14592,18379,0.8482241469511131,true,
study.corporate.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9592,4201,3274,2078,15851,629,14080,16480,0.8882720333102012,true,
study.corporate.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,get_provider_detail,6459,2824,0,3598,22339,447,19200,22786,0.8594834146559828,true,
study.corporate.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|get_provider_detail,10751,5563,2249,2905,20570,644,18176,21214,0.8836169178415167,true,
study.corporate.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4365,2604,0,1734,17145,350,14080,17495,0.821230679498396,true,
study.corporate.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9621,4099,2864,2624,16012,655,14080,16667,0.8793404946290282,true,
study.corporate.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4857,2098,0,2735,16802,256,13824,17058,0.8227591953338889,true,
study.corporate.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4514,2497,0,1982,18338,342,14080,18680,0.7678045588395681,true,
study.corporate.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10010,5592,2599,1784,15832,558,14080,16390,0.8893380495199595,true,
study.corporate.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4357,2505,0,1824,16823,372,14080,17195,0.8369494144920644,true,
study.corporate.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,15537,6803,0,8711,25204,332,21248,25536,0.8430407871766387,true,
study.corporate.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,11318,9588,0,1708,16269,1216,14080,17485,0.8654496281271129,true,
study.corporate.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,9245,2490,0,6737,21303,329,16256,21632,0.7630850115007276,true,
study.corporate.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6137,4381,0,1730,15922,628,14080,16550,0.8843110162039944,true,
study.corporate.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,6970,5075,0,1871,15910,540,14080,16450,0.884978001257071,true,
study.corporate.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,18667,8456,2964,7158,17234,843,14080,18077,0.816989671579436,true,
study.social.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12199,5329,2901,3881,16170,821,14080,16991,0.8707482993197279,true,
study.social.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_from_plan|get_provider_detail|get_provider_detail|get_provider_detail,11763,3520,3109,5093,21893,865,18688,22758,0.8536061754898826,true,
study.social.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,15238,8386,10389,3793,17610,1484,14592,19094,0.8286201022146508,true,
