node,visits
contacto_inicial,150
deteccion_intencion,150
minimos_para_buscar,146
recomendar,142
existe_plan_guardado,120
buscar_proveedores,97
busqueda_exitosa,97
hay_resultados,97
aclarar_pedir_faltante,85
usuario_elige_proveedor,60
entrevista,59
seguir_refinando_guardar_plan,53
refinar_criterios,40
anadir_a_proveedores_recomendados,30
guardar_cerrar_temporalmente,30
elicitacion_necesidades,23
crear_lead_cerrar,15
consultar_faq,15
