scenarioId,eventGroup,routeFamily,repetition,outcome,status,turns,latencyMs,tokens,toolCalls,openaiCostUsd,lambdaCostUsd,totalPricedCostUsd,finalNode,terminalReached,groundedTurns,groundingRequiredTurns
study.wedding.01,wedding,recommendation,1,completed,passed,1,16666,17350,1,0.00830955,0.00027796722220000005,0.0085875172222,recomendar,true,1,1
study.wedding.02,wedding,clarification,1,completed,passed,1,11377,16214,0,0.0042831100000000006,0.00018981704590000003,0.004472927045900001,aclarar_pedir_faltante,true,0,0
study.wedding.03,wedding,multi_need,1,completed,passed,1,16655,18677,3,0.00745306,0.00027778388850000006,0.0077308438885,elicitacion_necesidades,true,1,1
study.wedding.04,wedding,refinement,1,completed,passed,2,24935,42639,5,0.008772970000000001,0.00041598416450000004,0.0091889541645,recomendar,true,2,2
study.wedding.05,wedding,selection,1,completed,passed,2,18816,35723,1,0.00982142,0.00031400062720000004,0.0101354206272,seguir_refinando_guardar_plan,true,2,2
study.wedding.06,wedding,pause_resume,1,completed,passed,3,35370,54528,1,0.01366358,0.000590101179,0.014253681179,recomendar,true,3,3
study.wedding.07,wedding,closure,1,completed,passed,3,28145,71954,3,0.01741023,0.00046968427150000005,0.0178799142715,crear_lead_cerrar,true,3,3
study.wedding.08,wedding,faq,1,completed,passed,2,25477,44310,5,0.017024420000000002,0.0004250175159,0.0174494375159,consultar_faq,true,2,2
study.wedding.09,wedding,no_results,1,failed_assertion,failed,1,9657,20767,2,0.00499996,0.00016115032190000002,0.005161110321900001,refinar_criterios,true,0,0
study.wedding.10,wedding,error_recovery,1,completed,passed,2,18784,34215,2,0.00533812,0.00031346729280000007,0.0056515872928,recomendar,true,2,2
study.birthday.01,birthday,recommendation,1,completed,passed,1,12184,17254,1,0.00420366,0.0002032670728,0.0044069270728,recomendar,true,1,1
study.birthday.02,birthday,clarification,1,completed,passed,1,6100,16126,0,0.00208851,0.00010186687000000001,0.00219037687,aclarar_pedir_faltante,true,0,0
study.birthday.03,birthday,multi_need,1,completed,passed,1,14243,18068,2,0.00414981,0.00023758380810000003,0.0043873938081,elicitacion_necesidades,true,1,1
study.birthday.04,birthday,refinement,1,completed,passed,2,24584,35582,2,0.007375420000000001,0.0004101341528,0.0077855541528,recomendar,true,2,2
study.birthday.05,birthday,selection,1,completed,passed,2,19054,44106,4,0.01134762,0.00031796730180000003,0.0116655873018,seguir_refinando_guardar_plan,true,2,2
study.birthday.06,birthday,pause_resume,1,failed_assertion,failed,3,19227,51181,1,0.00793378,0.00032105064090000003,0.008254830640900001,recomendar,false,3,3
study.birthday.07,birthday,closure,1,completed,passed,3,23426,63810,2,0.01345608,0.0003910341142,0.0138471141142,crear_lead_cerrar,true,3,3
study.birthday.08,birthday,faq,1,completed,passed,2,18795,39715,1,0.011154820000000001,0.00031365062650000005,0.011468470626500001,consultar_faq,true,1,1
study.birthday.09,birthday,no_results,1,completed,passed,1,10549,20799,2,0.00290481,0.00017601701830000002,0.0030808270183,refinar_criterios,true,0,0
study.birthday.10,birthday,error_recovery,1,failed_assertion,failed,2,15622,33941,1,0.00574777,0.0002607671874,0.0060085371874,recomendar,true,1,1
study.baby_shower.01,baby_shower,recommendation,1,completed,passed,1,13912,36058,5,0.00587236,0.00023206713040000004,0.0061044271304,recomendar,true,1,1
study.baby_shower.02,baby_shower,clarification,1,completed,passed,1,7196,16258,0,0.0022440100000000003,0.00012013357320000001,0.0023641435732000005,aclarar_pedir_faltante,true,0,0
study.baby_shower.03,baby_shower,multi_need,1,completed,passed,1,13884,18675,3,0.0050529600000000004,0.00023160046280000003,0.0052845604628,elicitacion_necesidades,true,1,1
study.baby_shower.04,baby_shower,refinement,1,completed,passed,2,20107,35134,1,0.00678122,0.0003355173369,0.007116737336900001,seguir_refinando_guardar_plan,true,2,2
study.baby_shower.05,baby_shower,selection,1,completed,passed,2,14531,34070,1,0.00575377,0.00024258381770000004,0.005996353817700001,seguir_refinando_guardar_plan,true,2,2
study.baby_shower.06,baby_shower,pause_resume,1,failed_assertion,failed,3,17806,50430,0,0.00731758,0.00029736726020000004,0.007614947260200001,aclarar_pedir_faltante,false,0,0
study.baby_shower.07,baby_shower,closure,1,completed,passed,3,23831,60644,2,0.012996929999999999,0.00039778412770000003,0.013394714127699998,crear_lead_cerrar,true,3,3
study.baby_shower.08,baby_shower,faq,1,completed,passed,2,19485,40484,1,0.00966527,0.0003251506495,0.0099904206495,consultar_faq,true,1,1
study.baby_shower.09,baby_shower,no_results,1,completed,passed,1,10960,20855,2,0.00510611,0.00018286703200000003,0.005288977031999999,refinar_criterios,true,0,0
study.baby_shower.10,baby_shower,error_recovery,1,completed,passed,2,12253,33575,0,0.004912420000000001,0.00020461707510000004,0.0051170370751000005,aclarar_pedir_faltante,true,0,0
study.corporate.01,corporate,recommendation,1,completed,passed,1,12408,31632,5,0.00537801,0.0002070004136,0.0055850104136,recomendar,true,1,1
study.corporate.02,corporate,clarification,1,completed,passed,1,5982,16228,0,0.0022077600000000005,0.00009990019940000001,0.0023076601994000004,aclarar_pedir_faltante,true,0,0
study.corporate.03,corporate,multi_need,1,completed,passed,1,14783,18768,3,0.00500536,0.0002465838261,0.0052519438261,elicitacion_necesidades,true,1,1
study.corporate.04,corporate,refinement,1,completed,passed,2,17586,40007,2,0.00716767,0.00029350058620000003,0.0074611705862000005,seguir_refinando_guardar_plan,true,2,2
study.corporate.05,corporate,selection,1,failed_assertion,failed,2,14172,33965,1,0.00568542,0.00023660047240000004,0.0059220204724,seguir_refinando_guardar_plan,true,2,2
study.corporate.06,corporate,pause_resume,1,failed_assertion,failed,3,19113,50312,0,0.007246730000000001,0.0003191506371,0.0075658806371,aclarar_pedir_faltante,false,0,0
study.corporate.07,corporate,closure,1,completed,passed,3,24287,60698,2,0.01078273,0.00040538414290000005,0.0111881141429,crear_lead_cerrar,true,3,3
