scenario,turn,extractorModel,replyModel,extractionLlmCalls,replyLlmCalls,toolCalls,tools,runtimeLatencyMs,extractionLatencyMs,providerSearchLatencyMs,composeLatencyMs,inputTokens,outputTokens,cachedInputTokens,totalTokens,cacheHitRate,persisted,errors
study.wedding.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,14326,5840,3839,4426,16452,898,0,17350,0,true,
study.wedding.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,11192,8663,0,2490,15697,517,11008,16214,0.7012804994584952,true,
study.wedding.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,16456,8407,9750,3944,17381,1296,11008,18677,0.6333352511362983,true,
study.wedding.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10337,3672,3197,3403,16368,715,14080,17083,0.8602150537634409,true,
study.wedding.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_from_plan|list_provider_reviews|list_provider_reviews|list_provider_reviews,13714,4613,3717,5302,24643,913,21760,25556,0.8830093738587023,true,
study.wedding.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12265,4775,3881,3541,16466,882,14080,17348,0.8550953479897971,true,
study.wedding.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5123,2925,0,2138,18060,315,11008,18375,0.6095238095238096,true,
study.wedding.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12254,4189,4690,3327,16359,800,14080,17159,0.8606883061311816,true,
study.wedding.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,14174,12348,0,1788,17408,284,11008,17692,0.6323529411764706,true,
study.wedding.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,7236,2584,0,4546,19108,569,15616,19677,0.8172493196566883,true,
study.wedding.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11668,4286,3724,3596,16361,747,14080,17108,0.860583093942913,true,
study.wedding.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,get_provider_detail,7924,2720,0,5152,24767,388,20224,25155,0.8165704364678806,true,
study.wedding.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6573,3515,0,2995,29307,384,19200,29691,0.6551335858327362,true,
study.wedding.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,16958,8621,12268,4193,17819,1522,14592,19341,0.8189011729053258,true,
study.wedding.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,7702,2723,0,4906,24475,494,11008,24969,0.4497650663942799,true,
study.wedding.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_from_plan|list_categories,9244,4163,2506,2541,20206,561,15104,20767,0.7475007423537563,true,
study.wedding.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9405,4361,2665,2335,16007,563,14080,16570,0.8796151683638408,true,
study.wedding.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8753,3767,2870,2078,17136,509,15104,17645,0.8814192343604108,true,
study.birthday.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11527,4131,3439,3912,16381,873,14080,17254,0.859532385080276,true,
study.birthday.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5956,4234,0,1683,15653,473,14080,16126,0.8995080815179198,true,
study.birthday.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_by_query_intent|search_providers_by_query_intent,13993,6438,6437,4217,17073,995,14592,18068,0.8546828325426111,true,
study.birthday.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11705,4362,3683,3619,16336,726,14080,17062,0.861900097943193,true,
study.birthday.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12077,3219,4139,4663,17899,621,15616,18520,0.8724509749147997,true,
study.birthday.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_from_plan|get_provider_detail|get_provider_detail|get_provider_detail,12773,4239,3239,5255,23044,906,18688,23950,0.8109703176531852,true,
study.birthday.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5114,2787,0,2136,19793,363,14080,20156,0.7113626029404335,true,
study.birthday.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,8577,3736,2728,2075,15968,504,14080,16472,0.8817635270541082,true,
study.birthday.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4616,2626,0,1971,16359,283,13824,16642,0.8450394278378874,true,
study.birthday.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4702,2464,0,2204,17715,352,15104,18067,0.8526107818233136,true,
study.birthday.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11475,4122,3555,3758,16338,836,14080,17174,0.861794589301016,true,
study.birthday.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4511,2582,0,1873,17950,318,14080,18268,0.7844011142061281,true,
study.birthday.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,5941,2889,0,3016,27996,372,22272,28368,0.7955422203171881,true,
study.birthday.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,11313,9364,0,1925,16450,1180,11008,17630,0.6691793313069909,true,
