route,count
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan,22
contacto_inicial->recomendar,15
contacto_inicial->aclarar_pedir_faltante,15
contacto_inicial->elicitacion_necesidades,15
contacto_inicial->recomendar|recomendar->seguir_refinando_guardar_plan|seguir_refinando_guardar_plan->crear_lead_cerrar,15
contacto_inicial->refinar_criterios,15
contacto_inicial->recomendar|recomendar->recomendar,11
contacto_inicial->entrevista|entrevista->consultar_faq,11
contacto_inicial->aclarar_pedir_faltante|aclarar_pedir_faltante->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->aclarar_pedir_faltante,9
contacto_inicial->aclarar_pedir_faltante|aclarar_pedir_faltante->aclarar_pedir_faltante,7
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->recomendar,5
contacto_inicial->elicitacion_necesidades|elicitacion_necesidades->consultar_faq,4
contacto_inicial->entrevista|entrevista->aclarar_pedir_faltante,2
contacto_inicial->entrevista|entrevista->recomendar,1
contacto_inicial->entrevista|entrevista->entrevista,1
contacto_inicial->recomendar|recomendar->guardar_cerrar_temporalmente|guardar_cerrar_temporalmente->seguir_refinando_guardar_plan,1
contacto_inicial->recomendar|recomendar->entrevista,1
