scenarioId,eventGroup,routeFamily,repetition,outcome,status,turns,latencyMs,tokens,toolCalls,openaiCostUsd,lambdaCostUsd,totalPricedCostUsd,finalNode,terminalReached,groundedTurns,groundingRequiredTurns
study.wedding.01,wedding,recommendation,1,failed_assertion,failed,1,14870,17154,1,0.00408096,0.000248033829,0.0043289938289999995,recomendar,true,1,1
study.wedding.02,wedding,clarification,1,failed_assertion,failed,1,13101,17070,1,0.00414471,0.00021855043670000003,0.0043632604367,recomendar,false,1,1
study.wedding.03,wedding,multi_need,1,failed_assertion,failed,1,16449,18623,3,0.00523981,0.00027435054830000005,0.0055141605483,elicitacion_necesidades,false,1,1
study.wedding.04,wedding,refinement,1,failed_assertion,failed,2,23164,35803,2,0.0077765199999999994,0.00038646743880000006,0.0081629874388,recomendar,true,2,2
study.wedding.05,wedding,selection,1,failed_assertion,failed,2,23323,35110,1,0.0074627700000000005,0.0003891174441,0.007851887444100002,seguir_refinando_guardar_plan,true,2,2
study.wedding.06,wedding,pause_resume,1,failed_assertion,failed,3,27644,53138,2,0.01097593,0.00046133425480000004,0.0114372642548,recomendar,false,3,3
study.wedding.07,wedding,closure,1,failed_assertion,failed,3,24921,63578,2,0.01333983,0.00041595083070000005,0.0137557808307,crear_lead_cerrar,true,3,3
study.wedding.08,wedding,faq,1,completed,passed,2,32592,44560,6,0.01359427,0.0005436010864,0.014137871086400002,consultar_faq,true,2,2
study.wedding.09,wedding,no_results,1,failed_assertion,failed,1,9405,16207,1,0.00221431,0.00015695031350000001,0.0023712603135000003,refinar_criterios,false,0,0
study.wedding.10,wedding,error_recovery,1,failed_assertion,failed,2,17918,48398,5,0.00793327,0.00029903393060000004,0.0082323039306,seguir_refinando_guardar_plan,false,2,2
study.birthday.01,birthday,recommendation,1,failed_assertion,failed,1,16146,18700,4,0.00495621,0.0002693005382,0.0052255105382,elicitacion_necesidades,false,1,1
study.birthday.02,birthday,clarification,1,failed_assertion,failed,1,9714,16866,1,0.0036154100000000003,0.00016210032380000003,0.0037775103238000002,recomendar,false,1,1
study.birthday.03,birthday,multi_need,1,failed_assertion,failed,1,17248,17915,2,0.00421851,0.00028766724160000007,0.0045061772416,elicitacion_necesidades,false,1,1
study.birthday.04,birthday,refinement,1,completed,passed,2,24632,35019,2,0.00711912,0.0004109341544,0.0075300541544,recomendar,true,2,2
study.birthday.05,birthday,selection,1,completed,passed,2,16544,34476,1,0.006703820000000001,0.0002761338848,0.0069799538848,seguir_refinando_guardar_plan,true,2,2
study.birthday.06,birthday,pause_resume,1,failed_assertion,failed,3,22962,50666,2,0.00766768,0.00038330076540000005,0.0080509807654,recomendar,false,3,3
study.birthday.07,birthday,closure,1,completed,passed,3,23678,61616,2,0.01172843,0.0003952341226000001,0.012123664122599999,crear_lead_cerrar,true,3,3
study.birthday.08,birthday,faq,1,completed,passed,2,29095,39697,1,0.00918617,0.00048531763650000003,0.0096714876365,consultar_faq,true,1,1
study.birthday.09,birthday,no_results,1,failed_assertion,failed,1,13082,20680,2,0.00504006,0.00021823376940000003,0.0052582937694,refinar_criterios,false,0,0
study.birthday.10,birthday,error_recovery,1,failed_assertion,failed,2,25427,36401,3,0.00842407,0.00042418418090000003,0.0088482541809,recomendar,true,2,2
