node,visits
recomendar,194
contacto_inicial,149
deteccion_intencion,149
minimos_para_buscar,142
buscar_proveedores,135
busqueda_exitosa,135
hay_resultados,135
existe_plan_guardado,119
usuario_elige_proveedor,65
seguir_refinando_guardar_plan,56
entrevista,53
refinar_criterios,39
anadir_a_proveedores_recomendados,36
elicitacion_necesidades,33
guardar_cerrar_temporalmente,30
aclarar_pedir_faltante,25
crear_lead_cerrar,15
consultar_faq,15
