scenario,turn,extractorModel,replyModel,extractionLlmCalls,replyLlmCalls,toolCalls,tools,runtimeLatencyMs,extractionLatencyMs,providerSearchLatencyMs,composeLatencyMs,inputTokens,outputTokens,cachedInputTokens,totalTokens,cacheHitRate,persisted,errors
study.wedding.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,14082,6343,3567,4123,16289,865,14080,17154,0.8643870096384063,true,
study.wedding.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12743,4965,4079,3652,16228,842,14080,17070,0.8676361843726892,true,
study.wedding.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,3,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,16294,9581,7492,4080,17269,1354,14592,18623,0.8449823382940529,true,
study.wedding.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11409,4735,3702,2914,16222,750,14080,16972,0.8679570953026754,true,
study.wedding.04,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,11001,4950,2676,3320,18001,830,15616,18831,0.8675073607021833,true,
study.wedding.05,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,14161,4471,4253,5396,16225,739,14080,16964,0.8677966101694915,true,
study.wedding.05,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,7910,3063,0,4803,17800,346,14080,18146,0.7910112359550562,true,
study.wedding.06,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10679,4511,2908,3219,16038,756,14080,16794,0.877914951989026,true,
study.wedding.06,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,4903,2903,0,1969,16867,259,13824,17126,0.8195885456809154,true,
study.wedding.06,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10545,4098,3514,2886,18533,685,15104,19218,0.8149786866670263,true,
study.wedding.07,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,10983,4318,3200,3408,16225,809,14080,17034,0.8677966101694915,true,
study.wedding.07,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5212,3124,0,2038,17834,338,14080,18172,0.7895031961422003,true,
study.wedding.07,2,gpt-5.4-nano,gpt-5.4-mini,1,1,1,finish_plan,6951,3383,0,3522,27979,393,22272,28372,0.7960255906215375,true,
study.wedding.08,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,23789,16713,12895,3770,17931,1502,14592,19433,0.8137861803580392,true,
study.wedding.08,1,gpt-5.4-nano,gpt-5.4-mini,1,1,1,file_search,8034,3240,0,4749,24669,458,16256,25127,0.6589646925290851,true,
study.wedding.09,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9063,4726,2527,1775,15693,514,14080,16207,0.8972153189320079,true,
study.wedding.10,0,gpt-5.4-nano,gpt-5.4-mini,1,1,5,search_providers_from_plan|get_provider_detail|list_provider_reviews|list_provider_reviews|list_provider_reviews,12181,4458,2347,5337,30224,653,27392,30877,0.9062996294335627,true,
study.wedding.10,1,gpt-5.4-nano,gpt-5.4-mini,1,1,0,,5034,3092,0,1894,17180,341,14080,17521,0.819557625145518,true,
study.birthday.01,0,gpt-5.4-nano,gpt-5.4-mini,1,1,4,search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent|search_providers_by_query_intent,15548,9101,11072,3387,17343,1357,14592,18700,0.841376924407542,true,
study.birthday.02,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,9427,4307,2370,2710,16157,709,14080,16866,0.8714489075942315,true,
study.birthday.03,0,gpt-5.4-nano,gpt-5.4-mini,1,1,2,search_providers_by_query_intent|search_providers_by_query_intent,17078,6557,9987,3260,16897,1018,14592,17915,0.8635852518198497,true,
study.birthday.04,0,gpt-5.4-nano,gpt-5.4-mini,1,1,1,search_providers_from_plan,12586,4718,5010,2816,16046,705,14080,16751,0.8774772528979184,true,
